iso3,wfp_id,adm0_name,type,hazard,child_population_exposed,child_population_total,population_total,area
AUT,18,Austria,State,tropical_storm_100yr_giri_2024,0.0,1562150.013531782,9130600.381000314,83700.17994265241
AZE,19,Azerbaijan,State,tropical_storm_100yr_giri_2024,0.0,2747050.551596869,10305347.07231456,164178.97014582678
BDI,43,Burundi,State,tropical_storm_100yr_giri_2024,0.0,7250336.507113608,13877839.51055262,26963.24985419607
BEL,27,Belgium,State,tropical_storm_100yr_giri_2024,0.0,2300200.967760968,11730335.285806254,30553.047616360323
BEN,29,Benin,State,tropical_storm_100yr_giri_2024,0.0,6896624.155167938,14286070.048997458,115732.47742187616
BFA,42,Burkina Faso,State,tropical_storm_100yr_giri_2024,0.0,11453005.340204278,23295774.938637994,274290.34740471427
BGD,23,Bangladesh,State,tropical_storm_100yr_giri_2024,53737188.809620775,58945359.854905605,172282053.34904954,140022.5530244271
BGR,41,Bulgaria,State,tropical_storm_100yr_giri_2024,0.0,1180648.3503514074,6741985.340096511,110889.0805535334
AUS,17,Australia,State,tropical_storm_100yr_giri_2024,2150482.2663022075,5528342.125710133,25513814.518884607,7702017.710132445
BIH,34,Bosnia and Herzegovina,State,tropical_storm_100yr_giri_2024,0.0,515900.2682900799,3178220.9781453223,51096.47612528879
BRA,37,Brazil,State,tropical_storm_100yr_giri_2024,0.0,49906109.46469162,207339669.400336,8514806.17016834
BRN,40,Brunei Darussalam,State,tropical_storm_100yr_giri_2024,0.0,114778.39665357309,452552.1935456375,5924.986455325377
BLR,26,Belarus,State,tropical_storm_100yr_giri_2024,0.0,1792218.359636827,9086125.035881724,206764.72441017028
BTN,31,Bhutan,State,tropical_storm_100yr_giri_2024,0.0,208366.5742227184,789279.2014167488,38753.11920426533
BWA,35,Botswana,State,tropical_storm_100yr_giri_2024,0.0,937762.278315938,2460012.0798487505,579525.9764854849
CAF,49,Central African Republic,State,tropical_storm_100yr_giri_2024,0.0,2934123.2070428585,5180632.931148907,622463.9100744314
CHE,237,Switzerland,State,tropical_storm_100yr_giri_2024,0.0,1593960.862397689,8906052.082603708,41181.70939615641
CHN,53,China,State,tropical_storm_100yr_giri_2024,156522620.90532792,279052029.86104435,1408196199.1885152,9344036.317725817
CIV,66,Côte d'Ivoire,State,tropical_storm_100yr_giri_2024,0.0,15023795.128891736,31498581.02338414,323058.62077063817
CMR,45,Cameroon,State,tropical_storm_100yr_giri_2024,0.0,13770790.335552186,28665192.916732945,466922.0754557269
COD,68,Democratic Republic of the Congo,State,tropical_storm_100yr_giri_2024,0.0,56518034.8240952,107520679.36553958,2340088.019952181
COG,59,Congo,State,tropical_storm_100yr_giri_2024,0.0,2955038.354785084,6206506.644251352,343919.6394265768
CYP,64,Cyprus,State,tropical_storm_100yr_giri_2024,0.0,253506.5784821285,1306885.8992871277,8993.210057517636
CZE,65,Czechia,State,tropical_storm_100yr_giri_2024,0.0,2026392.149701572,10797115.170909977,78611.6859537302
DEU,93,Germany,State,tropical_storm_100yr_giri_2024,0.0,14044142.055686995,84410388.54353914,356493.7969732728
DJI,70,Djibouti,State,tropical_storm_100yr_giri_2024,0.0,409779.4402882336,1121101.3562784237,21758.875636983776
DNK,69,Denmark,State,tropical_storm_100yr_giri_2024,0.0,1128654.178546772,5805348.825645145,42922.16680705659
DZA,4,Algeria,State,tropical_storm_100yr_giri_2024,711071.7823301054,16139589.603391144,45535929.88414952,2311380.979304349
EGY,284,Egypt,State,tropical_storm_100yr_giri_2024,0.0,43437953.591449335,114593975.80522698,982488.77150487
ERI,77,Eritrea,State,tropical_storm_100yr_giri_2024,0.0,1606584.499666615,3486964.7724528024,121294.54508134222
ESP,229,Spain,State,tropical_storm_100yr_giri_2024,4721781.278694148,7175342.692773336,44022725.33000858,497699.689187152
EST,78,Estonia,State,tropical_storm_100yr_giri_2024,0.0,264505.7840974989,1355890.3274222582,45131.91921091455
ETH,79,Ethiopia,State,tropical_storm_100yr_giri_2024,0.0,60017167.31716954,130475844.22602253,1133677.2361163718
FIN,84,Finland,State,tropical_storm_100yr_giri_2024,0.0,991544.3563497256,5481231.539931241,333448.6332360159
FRA,85,France,State,tropical_storm_100yr_giri_2024,1411266.5856001067,13297196.415617146,65606885.74593915,547736.3246348397
GAB,89,Gabon,State,tropical_storm_100yr_giri_2024,0.0,1061384.324698356,2481901.429977897,264132.08061689424
GBR,256,United Kingdom of Great Britain & Northern Ireland,State,tropical_storm_100yr_giri_2024,8699190.554754153,13877638.68001792,67093213.510258585,243329.36648943552
GEO,92,Georgia,State,tropical_storm_100yr_giri_2024,0.0,936649.800456076,3789540.2679977566,69570.66540794414
GHA,94,Ghana,State,tropical_storm_100yr_giri_2024,0.0,14402609.609146208,33944101.02159335,239787.5906303
GIN,106,Guinea,State,tropical_storm_100yr_giri_2024,0.0,6962287.36771465,14521541.651037283,245763.13279350716
GMB,90,Gambia,State,tropical_storm_100yr_giri_2024,0.0,1289237.894744835,2704730.2334902566,10665.67684317738
GNB,105,Guinea-Bissau,State,tropical_storm_100yr_giri_2024,0.0,991855.9531200428,2159573.759235356,33852.05012984999
GNQ,76,Equatorial Guinea,State,tropical_storm_100yr_giri_2024,0.0,808399.3588703979,1834492.347763331,27110.82763876295
GRC,97,Greece,State,tropical_storm_100yr_giri_2024,0.0,1614944.8978723926,9640961.847937165,132222.12492995255
GTM,103,Guatemala,State,tropical_storm_100yr_giri_2024,2194777.069319524,6957737.932168799,18248624.36506566,109304.74344048691
HRV,62,Croatia,State,tropical_storm_100yr_giri_2024,0.0,663754.4829499393,3787648.900208083,56336.23073094066
HUN,113,Hungary,State,tropical_storm_100yr_giri_2024,0.0,1702871.456354855,9688358.543239586,92755.78501238594
IDN,272,Indonesia,State,tropical_storm_100yr_giri_2024,2363384.1486646803,81336242.80827136,274194497.69238394,1899588.102828659
IND,115,India,State,tropical_storm_100yr_giri_2024,156218402.18408734,429150837.0289337,1424016519.077471,2985645.402504308
IRL,119,Ireland,State,tropical_storm_100yr_giri_2024,1175298.1726323557,1175298.1726323557,5126029.325195856,69575.83856161711
IRN,117,Iran (Islamic Republic of),State,tropical_storm_100yr_giri_2024,386701.0127436552,24294847.979221985,90460500.98066571,1679823.9575297283
IRQ,118,Iraq,State,tropical_storm_100yr_giri_2024,0.0,19703403.363175884,45558484.665153936,437198.5093502568
ISL,114,Iceland,State,tropical_storm_100yr_giri_2024,0.0,83771.06825152112,373316.9137436817,102014.92540545702
ISR,121,Israel,State,tropical_storm_100yr_giri_2024,0.0,2536958.6302999053,9132753.896187162,20787.11042747818
ITA,122,Italy,State,tropical_storm_100yr_giri_2024,0.0,8867068.845870715,58822714.11049495,300430.85584006883
JOR,130,Jordan,State,tropical_storm_100yr_giri_2024,0.0,4258511.621413204,11523987.80478274,89203.35931995866
JPN,126,Japan,State,tropical_storm_100yr_giri_2024,17148792.922728706,17148792.9227287,120686220.54092196,373522.7108011886
KAZ,132,Kazakhstan,State,tropical_storm_100yr_giri_2024,0.0,7013864.848751668,20544135.46735033,2830727.4695786387
KEN,133,Kenya,State,tropical_storm_100yr_giri_2024,0.0,24625532.7467626,55527033.47588344,585618.8753727536
KGZ,138,Kyrgyzstan,State,tropical_storm_100yr_giri_2024,0.0,2689821.2431255886,7128243.330953766,198043.110136223
KHM,44,Cambodia,State,tropical_storm_100yr_giri_2024,6198508.003373184,6211092.529221758,17474540.400970142,182117.6884937588
KOR,202,Republic of Korea,State,tropical_storm_100yr_giri_2024,6896494.420032748,6896494.420032748,51290326.88351894,100564.0518857207
KWT,137,Kuwait,State,tropical_storm_100yr_giri_2024,0.0,1065069.932155687,4806398.575371386,17358.79369537642
LAO,139,Lao People's Democratic Republic,State,tropical_storm_100yr_giri_2024,1747220.2213861232,2799986.696374424,7773182.864683836,231101.366723768
LBN,141,Lebanon,State,tropical_storm_100yr_giri_2024,0.0,1848615.762826691,5710221.290856774,10219.418455967862
LBR,144,Liberia,State,tropical_storm_100yr_giri_2024,0.0,2595882.198157564,5503269.313599072,96405.7280131736
LBY,145,Libya,State,tropical_storm_100yr_giri_2024,0.0,2369493.4903211654,7084741.747273151,1619285.8650286156
LIE,146,Liechtenstein,State,tropical_storm_100yr_giri_2024,0.0,6873.413461724143,39207.99551816096,159.5582580680112
LKA,231,Sri Lanka,State,tropical_storm_100yr_giri_2024,6180127.650252736,6180127.650252736,22673393.6513328,66104.25288865225
LSO,142,Lesotho,State,tropical_storm_100yr_giri_2024,0.0,953829.4465429004,2322762.20800154,30611.93536463149
LTU,147,Lithuania,State,tropical_storm_100yr_giri_2024,0.0,509385.6883266349,2866930.8639708417,64995.59072916185
LUX,148,Luxembourg,State,tropical_storm_100yr_giri_2024,0.0,125867.0302164336,665461.0224727879,2587.2489406897025
LVA,140,Latvia,State,tropical_storm_100yr_giri_2024,0.0,352447.47395318083,1873820.8873327945,64267.95864585236
MAR,169,Morocco,State,tropical_storm_100yr_giri_2024,11625029.329199268,11625029.329199271,37652728.21499646,414329.6692042816
MCO,166,Monaco,State,tropical_storm_100yr_giri_2024,0.0,5262.439017200824,24894.40240119485,2.476360919139991
CAN,46,Canada,State,tropical_storm_100yr_giri_2024,655680.8478583412,7173800.156299239,38869036.71435409,9923949.85745081
MDA,165,Moldova,State,tropical_storm_100yr_giri_2024,0.0,714905.6482122904,3053511.398903851,33761.248544054055
MDG,150,Madagascar,State,tropical_storm_100yr_giri_2024,14049899.752839386,14049899.752839388,30747097.794693783,593960.4430762818
MKD,241,North Macedonia,State,tropical_storm_100yr_giri_2024,0.0,372434.5531768669,1828061.7942779767,25396.86957571389
MEX,162,Mexico,State,tropical_storm_100yr_giri_2024,12033618.14579249,38372191.92413432,128401422.60932018,1968176.7215457468
MLI,155,Mali,State,tropical_storm_100yr_giri_2024,0.0,12887973.3377854,24125255.44650243,1258835.9296494112
MLT,156,Malta,State,tropical_storm_100yr_giri_2024,0.0,82026.20114665937,521192.899440352,314.8658581987097
MNE,2647,Montenegro,State,tropical_storm_100yr_giri_2024,0.0,138273.13204878976,622926.3984072178,13874.370851691288
MMR,273,Myanmar,State,tropical_storm_100yr_giri_2024,10956484.492314376,15614932.645745547,53615227.438729495,670823.6197973066
MNG,167,Mongolia,State,tropical_storm_100yr_giri_2024,0.0,1283535.6980812473,3451239.838370319,1560759.7645335875
MOZ,170,Mozambique,State,tropical_storm_100yr_giri_2024,12305833.618031362,17344887.783022914,33765765.03042519,789492.8487845617
MWI,152,Malawi,State,tropical_storm_100yr_giri_2024,0.0,10332558.442614015,21364800.04979633,118907.64437502096
MRT,159,Mauritania,State,tropical_storm_100yr_giri_2024,78034.64810171812,2509825.9873942863,5054053.021652731,1039572.2016665876
NAM,172,Namibia,State,tropical_storm_100yr_giri_2024,0.0,1268276.2367407666,2949995.5281335344,825988.2365245576
NER,181,Niger,State,tropical_storm_100yr_giri_2024,0.0,14400380.534801006,26793747.33668633,1186172.0096356047
MYS,153,Malaysia,State,tropical_storm_100yr_giri_2024,37015.33554923676,9337446.095826345,34831578.590280674,331233.5338099853
NLD,177,Netherlands,State,tropical_storm_100yr_giri_2024,0.0,3317680.633177772,18029909.14211523,35051.620999048515
NGA,182,Nigeria,State,tropical_storm_100yr_giri_2024,0.0,110642672.82595988,229602955.22762072,914421.4868789336
NPL,175,Nepal,State,tropical_storm_100yr_giri_2024,0.0,10250380.76052714,29642061.05948545,147827.55467917174
NOR,186,Norway,State,tropical_storm_100yr_giri_2024,0.0,1015530.0568755262,5123131.223897943,322110.9052925733
OMN,187,Oman,State,tropical_storm_100yr_giri_2024,1013674.530701582,1426698.4030115118,5015295.953208735,309185.96696268127
PAK,188,Pakistan,State,tropical_storm_100yr_giri_2024,22057597.856385,107750534.1087314,248700283.38779023,794617.7448061238
PHL,275,Philippines,State,tropical_storm_100yr_giri_2024,38767321.8471293,38920920.68168253,111747457.38693188,296412.6567529354
PNG,274,Papua New Guinea,State,tropical_storm_100yr_giri_2024,501417.6399144274,3771705.4209643,9642352.64026671,465365.1681464113
POL,198,Poland,State,tropical_storm_100yr_giri_2024,0.0,6980330.991230039,38556859.43418746,310724.3940478374
PRK,67,Democratic People's Republic of Korea,State,tropical_storm_100yr_giri_2024,5968303.775467197,5968303.7754671965,26296509.18734705,122517.2738601824
PRT,199,Portugal,State,tropical_storm_100yr_giri_2024,1561451.171260756,1561451.171260756,9846609.965714457,88539.91055093665
PSE,3000,State of Palestine,State,tropical_storm_100yr_giri_2024,0.0,2443377.101390832,5402734.348390189,6147.8781860534
QAT,201,Qatar,State,tropical_storm_100yr_giri_2024,0.0,525150.8330377394,3007344.2949948334,11670.584359064049
ROU,203,Romania,State,tropical_storm_100yr_giri_2024,0.0,3678230.56968678,19057570.685911324,237808.2490989319
NZL,179,New Zealand,State,tropical_storm_100yr_giri_2024,1136542.5251484124,1136542.5251484124,5064248.282797882,268235.08238512685
RWA,205,Rwanda,State,tropical_storm_100yr_giri_2024,0.0,6267135.85694935,14097780.61437473,25407.985907538976
SAU,215,Saudi Arabia,State,tropical_storm_100yr_giri_2024,1.4862619976629503,9337856.995743196,32986953.00129721,1929891.824896628
SDN,280,Sudan,State,tropical_storm_100yr_giri_2024,0.0,23464053.821123067,49865909.172933295,1850344.215236803
SEN,278,Senegal,State,tropical_storm_100yr_giri_2024,0.0,8270845.118411525,18125219.403824627,197515.81325929103
SLE,221,Sierra Leone,State,tropical_storm_100yr_giri_2024,0.0,3843554.251305169,8475710.84991038,72722.06718550812
SLV,75,El Salvador,State,tropical_storm_100yr_giri_2024,878168.3009661004,1913990.3562425305,6298205.349703249,20866.99108236562
SMR,213,San Marino,State,tropical_storm_100yr_giri_2024,0.0,5134.854386489199,32559.09751354667,60.818159851656304
SOM,226,Somalia,State,tropical_storm_100yr_giri_2024,621181.4414693431,9019740.484482087,17745145.825033713,635467.6865730727
SRB,2648,Serbia,State,tropical_storm_100yr_giri_2024,0.0,1176150.825566786,8447227.708104627,88279.92400210608
SSD,287,South Sudan,State,tropical_storm_100yr_giri_2024,0.0,5568108.033078,11795044.308237383,632419.4956147211
SVK,223,Slovakia,State,tropical_storm_100yr_giri_2024,0.0,1043142.8692212112,5519449.023483421,48874.9010868696
SVN,224,Slovenia,State,tropical_storm_100yr_giri_2024,0.0,375673.5819081437,2111647.805266223,20218.890159001767
SWE,236,Sweden,State,tropical_storm_100yr_giri_2024,0.0,2075466.956284257,10107631.546174591,446533.9254203534
SWZ,235,Eswatini,State,tropical_storm_100yr_giri_2024,194575.1765255641,493249.9917045235,1236391.7812091997,17400.85315187086
SYR,238,Syrian Arab Republic,State,tropical_storm_100yr_giri_2024,0.0,8929443.803054532,24156884.259887222,187499.59215600757
TCD,50,Chad,State,tropical_storm_100yr_giri_2024,0.0,10563114.843832964,19892914.389687844,1273900.434577821
TGO,243,Togo,State,tropical_storm_100yr_giri_2024,0.0,4352983.95972355,9371853.756197968,56908.31004639232
THA,240,Thailand,State,tropical_storm_100yr_giri_2024,6023945.766038356,13239540.433464188,71226166.65231337,517237.38550452713
TJK,239,Tajikistan,State,tropical_storm_100yr_giri_2024,0.0,4387147.841555221,10514845.52782798,141244.90114285456
TKM,250,Turkmenistan,State,tropical_storm_100yr_giri_2024,0.0,2721095.345029948,7503147.447041797,554693.6160128624
TLS,242,Timor-Leste,State,tropical_storm_100yr_giri_2024,550135.1176921051,566005.349724613,1365431.7307479528,14951.833947859335
TUN,248,Tunisia,State,tropical_storm_100yr_giri_2024,0.0,3505061.870340183,12121914.034935754,155214.73609152212
TUR,249,Republic of Türkiye,State,tropical_storm_100yr_giri_2024,0.0,22274942.83839628,85385396.180427,779430.4450348342
TZA,257,United Republic of Tanzania,State,tropical_storm_100yr_giri_2024,2009.4720012908472,33009939.060595352,66805778.45477117,944404.6160923945
UGA,253,Uganda,State,tropical_storm_100yr_giri_2024,0.0,25129259.248308297,49309225.09216296,242577.1576193577
UKR,254,Ukraine,State,tropical_storm_100yr_giri_2024,0.0,6430335.640520838,37050642.900068894,598646.4031487926
RUS,204,Russian Federation,State,tropical_storm_100yr_giri_2024,455294.565176683,29912260.31259292,144499514.6206249,16908645.386554796
UZB,261,Uzbekistan,State,tropical_storm_100yr_giri_2024,0.0,12807240.684927745,35871507.22492246,448270.14854284143
VAT,110,Holy See,State,tropical_storm_100yr_giri_2024,0.0,20.176179152844,538.4265931403941,0.5530660773456951
VNM,264,Viet Nam,State,tropical_storm_100yr_giri_2024,27977882.7029435,28020535.46063945,100066740.29425308,328668.5895646629
YEM,269,Yemen,State,tropical_storm_100yr_giri_2024,1178922.289240909,18647028.1619601,39243002.16110872,454500.66968822526
ZAF,227,South Africa,State,tropical_storm_100yr_giri_2024,2441242.604659785,19551218.440278165,62854816.415889084,1221330.6746191955
ZMB,270,Zambia,State,tropical_storm_100yr_giri_2024,0.0,10196835.653076608,20958246.57305305,753737.8080043888
ZWE,271,Zimbabwe,State,tropical_storm_100yr_giri_2024,90937.8325973127,7945012.017134825,16496124.651762815,392243.763736906
USA,259,United States of America,State,tropical_storm_100yr_giri_2024,34468367.05633154,72972650.627378,341973878.8098228,9484514.886730747
COK,60,Cook Islands,Territory,tropical_storm_100yr_giri_2024,3888.451219996592,3888.451219996592,11316.908955068631,253.94156152336623
NIU,183,Niue,Territory,tropical_storm_100yr_giri_2024,327.6434551140404,327.6434551140404,1670.7858515600062,267.0024157379165
CXR,54,Christmas Island,Territory,tropical_storm_100yr_giri_2024,140.6114693391031,140.6114693391031,811.4187892529109,137.72987439150666
AUS,16,Ashmore and Cartier Islands,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,2.072178170990595
CCK,56,Cocos (Keeling) Islands,Territory,tropical_storm_100yr_giri_2024,83.37301648419765,83.37301648419765,0.0,18.10310679413769
NFK,184,Norfolk Island,Territory,tropical_storm_100yr_giri_2024,414.3510867077458,414.3510867077458,2167.918484518113,38.21396866113152
FRO,82,Faroe Islands,Territory,tropical_storm_100yr_giri_2024,0.0,10615.136152522731,45318.06391283055,1407.941537010647
ESP,1006,Canary Islands,Territory,tropical_storm_100yr_giri_2024,310648.56691154774,310648.56691154774,2075160.502232588,7475.4747523686065
ALA,1000,Åland Islands,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,24356.800147148235,1182.4449609622586
ATF,25,Bassas da India,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,1.05489679633797
SPM,210,Saint Pierre et Miquelon,Territory,tropical_storm_100yr_giri_2024,439.2365161210517,439.2365161210517,2567.490641200802,227.4317988160097
ATF,88,French Southern Territories,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,7545.445540588663
ATF,131,Juan de Nova Island,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,5.1529964867062725
xFR,247,Tromelin Island,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,1.4027345682003225
REU,206,Réunion,Territory,tropical_storm_100yr_giri_2024,224527.03551220748,224527.03551220748,852375.2411751292,2511.2870815682068
ATF,80,Europa Island,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,34.90024266094143
WLF,266,Wallis and Futuna,Territory,tropical_storm_100yr_giri_2024,2144.5617278896857,2144.5617278896857,10476.772545349875,147.9502592523322
xFR,1013,Glorioso Islands,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,5.175995505547052
GGY,104,Guernsey,Territory,tropical_storm_100yr_giri_2024,10821.840206980904,10821.840206980904,60723.66183936328,79.85937416880729
MYT,161,Mayotte,Territory,tropical_storm_100yr_giri_2024,147632.99054291303,147632.99054291303,277288.2751140858,387.65240654218326
IMN,120,Isle of Man,Territory,tropical_storm_100yr_giri_2024,14797.878542407976,14797.878542407976,81492.96328064777,570.842159926398
IOT,38,Chagos Archipelagio,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,54.47240283425501
JEY,128,Jersey,Territory,tropical_storm_100yr_giri_2024,17124.35502786672,17124.35502786672,93021.7992296491,119.48400079235354
xUK,1015,Akrotiri,Territory,tropical_storm_100yr_giri_2024,0.0,1854.3849790472768,11189.13798728377,124.49298500978186
xUK,1016,Dekelia,Territory,tropical_storm_100yr_giri_2024,0.0,1565.543027738413,11354.755529726172,129.8283603123173
PRT,1009,Madeira Islands,Territory,tropical_storm_100yr_giri_2024,39285.658622135634,39285.658622135634,242439.5760517241,819.7729334025119
SJM,234,Svalbard and Jan Mayen Islands,Territory,tropical_storm_100yr_giri_2024,0.0,2.010558001638856,7.739739894880897,61632.97450522548
UMI,190,Palmyra Atoll,Territory,tropical_storm_100yr_giri_2024,0.0,0.0,0.0,3.1949053403718293
